Real,Imag
+0.999999999995E-5,-0.149439030582E-2
-0.999999999996E-5,+0.148740696460E-2
+0.999999999997E-5,-0.148048858371E-2
-0.100000000000E-4,+0.147363426094E-2
+0.100000000000E-4,-0.146684311069E-2
-0.100000000000E-4,+0.146011426361E-2
+0.999999999989E-5,-0.145344686623E-2
-0.999999999989E-5,+0.144684008060E-2
+0.999999999991E-5,-0.144029308394E-2
-0.999999999995E-5,+0.143380506828E-2
+0.999999999993E-5,-0.142737524017E-2
-0.999999999996E-5,+0.142100282030E-2
+0.100000000001E-4,-0.141468704324E-2
-0.100000000000E-4,+0.140842715708E-2
+0.100000000000E-4,-0.140222242318E-2
-0.100000000000E-4,+0.139607211585E-2
+0.100000000000E-4,-0.138997552208E-2
-0.999999999990E-5,+0.138393194126E-2
+0.999999999990E-5,-0.137794068491E-2
-0.999999999992E-5,+0.137200107641E-2
+0.999999999993E-5,-0.136611245078E-2
-0.999999999995E-5,+0.136027415439E-2
+0.999999999997E-5,-0.135448554474E-2
-0.999999999997E-5,+0.134874599022E-2
+0.999999999999E-5,-0.134305486987E-2
-0.100000000000E-4,+0.133741157318E-2
+0.100000000000E-4,-0.133181549985E-2
-0.100000000000E-4,+0.132626605960E-2
+0.999999999992E-5,-0.132076267192E-2
-0.999999999991E-5,+0.131530476592E-2
+0.999999999995E-5,-0.130989178009E-2
-0.999999999993E-5,+0.130452316215E-2
+0.999999999994E-5,-0.129919836880E-2
-0.999999999996E-5,+0.129391686560E-2
+0.999999999999E-5,-0.128867812676E-2
-0.100000000000E-4,+0.128348163498E-2
+0.100000000000E-4,-0.127832688124E-2
-0.100000000000E-4,+0.127321336469E-2
+0.999999999988E-5,-0.126814059246E-2
-0.999999999992E-5,+0.126310807949E-2
+0.999999999993E-5,-0.125811534841E-2
-0.999999999994E-5,+0.125316192935E-2
+0.999999999995E-5,-0.124824735981E-2
-0.999999999996E-5,+0.124337118453E-2
+0.999999999997E-5,-0.123853295533E-2
-0.999999999998E-5,+0.123373223096E-2
+0.999999999999E-5,-0.122896857702E-2
-0.100000000000E-4,+0.122424156576E-2
+0.100000000000E-4,-0.121955077601E-2
-0.999999999990E-5,+0.121489579301E-2
+0.999999999990E-5,-0.121027620833E-2
-0.999999999992E-5,+0.120569161971E-2
+0.999999999994E-5,-0.120114163096E-2
-0.999999999994E-5,+0.119662585187E-2
+0.999999999995E-5,-0.119214389806E-2
-0.999999999996E-5,+0.118769539088E-2
+0.999999999999E-5,-0.118327995733E-2
-0.100000000000E-4,+0.117889722991E-2
+0.100000000001E-4,-0.117454684658E-2
-0.999999999989E-5,+0.117022845059E-2
+0.999999999991E-5,-0.116594169043E-2
-0.999999999992E-5,+0.116168621972E-2
+0.999999999992E-5,-0.115746169714E-2
-0.999999999996E-5,+0.115326778627E-2
+0.999999999995E-5,-0.114910415560E-2
-0.999999999997E-5,+0.114497047835E-2
+0.999999999998E-5,-0.114086643244E-2
-0.100000000000E-4,+0.113679170040E-2
+0.100000000000E-4,-0.113274596927E-2
-0.100000000000E-4,+0.112872893052E-2
+0.999999999990E-5,-0.112474028000E-2
-0.999999999992E-5,+0.112077971783E-2
+0.999999999993E-5,-0.111684694834E-2
-0.999999999993E-5,+0.111294168000E-2
+0.999999999995E-5,-0.110906362535E-2
-0.999999999996E-5,+0.110521250091E-2
+0.100000000000E-4,-0.110138802712E-2
-0.999999999997E-5,+0.109758992829E-2
+0.100000000000E-4,-0.109381793251E-2
-0.100000000000E-4,+0.109007177160E-2
+0.100000000000E-4,-0.108635118105E-2
-0.999999999989E-5,+0.108265589992E-2
+0.999999999992E-5,-0.107898567083E-2
-0.999999999992E-5,+0.107534023988E-2
+0.999999999994E-5,-0.107171935658E-2
-0.999999999997E-5,+0.106812277381E-2
+0.999999999995E-5,-0.106455024775E-2
-0.999999999998E-5,+0.106100153783E-2
+0.999999999998E-5,-0.105747640669E-2
-0.100000000000E-4,+0.105397462009E-2
+0.100000000000E-4,-0.105049594690E-2
-0.100000000000E-4,+0.104704015903E-2
+0.100000000000E-4,-0.104360703137E-2
-0.999999999992E-5,+0.104019634178E-2
+0.999999999994E-5,-0.103680787098E-2
-0.999999999996E-5,+0.103344140255E-2
+0.999999999995E-5,-0.103009672289E-2
-0.999999999996E-5,+0.102677362113E-2
+0.999999999997E-5,-0.102347188913E-2
-0.100000000000E-4,+0.102019132141E-2
+0.100000000000E-4,-0.101693171511E-2
-0.100000000000E-4,+0.101369286996E-2
+0.999999999997E-5,-0.101047458825E-2
-0.999999999991E-5,+0.100727667474E-2
+0.999999999992E-5,-0.100409893669E-2
-0.999999999993E-5,+0.100094118375E-2
+0.999999999994E-5,-0.997803227979E-3
-0.999999999995E-5,+0.994684883777E-3
+0.999999999997E-5,-0.991585967858E-3
-0.999999999998E-5,+0.988506299213E-3
+0.100000000000E-4,-0.985445699076E-3
-0.100000000000E-4,+0.982403990885E-3
+0.100000000000E-4,-0.979381000255E-3
-0.100000000000E-4,+0.976376554936E-3
+0.999999999993E-5,-0.973390484790E-3
-0.100000000000E-4,+0.970422621750E-3
+0.999999999995E-5,-0.967472799793E-3
-0.100000000001E-4,+0.964540854911E-3
+0.999999999995E-5,-0.961626625075E-3
-0.999999999987E-5,+0.958729950210E-3
+0.999999999999E-5,-0.955850672163E-3
-0.999999999987E-5,+0.952988634674E-3
+0.100000000000E-4,-0.950143683351E-3
-0.999999999988E-5,+0.947315665638E-3
+0.100000000000E-4,-0.944504430792E-3
-0.999999999990E-5,+0.941709829853E-3
+0.100000000000E-4,-0.938931715616E-3
-0.999999999993E-5,+0.936169942612E-3
+0.100000000000E-4,-0.933424367076E-3
-0.999999999997E-5,+0.930694846924E-3
+0.999999999988E-5,-0.927981241732E-3
-0.100000000000E-4,+0.925283412705E-3
+0.999999999989E-5,-0.922601222659E-3
-0.100000000000E-4,+0.919934535997E-3
+0.999999999991E-5,-0.917283218683E-3
-0.100000000000E-4,+0.914647138223E-3
+0.999999999994E-5,-0.912026163641E-3
-0.100000000000E-4,+0.909420165458E-3
+0.999999999995E-5,-0.906829015671E-3
-0.100000000001E-4,+0.904252587731E-3
+0.999999999997E-5,-0.901690756524E-3
-0.999999999987E-5,+0.899143398347E-3
+0.999999999998E-5,-0.896610390894E-3
-0.999999999971E-5,+0.894091613230E-3
+0.100000000000E-4,-0.891586945781E-3
-0.999999999991E-5,+0.889096270301E-3
+0.100000000000E-4,-0.886619469868E-3
-0.999999999991E-5,+0.884156428855E-3
+0.100000000000E-4,-0.881707032918E-3
-0.999999999994E-5,+0.879271168978E-3
+0.999999999986E-5,-0.876848725198E-3
-0.100000000000E-4,+0.874439590973E-3
+0.999999999988E-5,-0.872043656910E-3
-0.999999999999E-5,+0.869660814810E-3
+0.999999999989E-5,-0.867290957656E-3
-0.100000000000E-4,+0.864933979591E-3
+0.999999999993E-5,-0.862589775906E-3
-0.100000000000E-4,+0.860258243027E-3
+0.999999999995E-5,-0.857939278494E-3
-0.100000000000E-4,+0.855632780950E-3
+0.999999999995E-5,-0.853338650122E-3
-0.999999999987E-5,+0.851056786814E-3
+0.999999999996E-5,-0.848787092885E-3
-0.999999999989E-5,+0.846529471239E-3
+0.100000000000E-4,-0.844283825810E-3
-0.999999999990E-5,+0.842050061549E-3
+0.100000000000E-4,-0.839828084410E-3
-0.999999999994E-5,+0.837617801335E-3
+0.100000000000E-4,-0.835419120247E-3
-0.999999999994E-5,+0.833231950030E-3
+0.100000000000E-4,-0.831056200521E-3
-0.999999999998E-5,+0.828891782494E-3
+0.999999999989E-5,-0.826738607654E-3
-0.999999999999E-5,+0.824596588617E-3
+0.999999999986E-5,-0.822465638905E-3
-0.999999999999E-5,+0.820345672930E-3
+0.999999999991E-5,-0.818236605984E-3
-0.100000000000E-4,+0.816138354230E-3
+0.999999999992E-5,-0.814050834685E-3
-0.100000000000E-4,+0.811973965216E-3
+0.999999999993E-5,-0.809907664524E-3
-0.100000000000E-4,+0.807851852137E-3
+0.999999999995E-5,-0.805806448396E-3
-0.999999999988E-5,+0.803771374448E-3
+0.100000000000E-4,-0.801746552234E-3
-0.999999999988E-5,+0.799731904479E-3
+0.100000000000E-4,-0.797727354685E-3
