0.504279523818 +0.00000000000i
+0.619302565198E-2 -0.261738819024E-1i
-0.766232592288E-3 -0.150875833629E-1i
-0.132428627829E-2 -0.743326911018E-2i
+0.102909238649E-2 -0.543784902272E-2i
+0.578316326868E-3 -0.597103112370E-2i
-0.803267172759E-3 -0.450288696207E-2i
-0.671774384686E-4 -0.287140363716E-2i
+0.671142300974E-3 -0.322687100406E-2i
-0.161220287282E-3 -0.337311185039E-2i
-0.449391127755E-3 -0.227578027968E-2i
+0.323679037489E-3 -0.194257713699E-2i
+0.270030979513E-3 -0.246205037297E-2i
-0.361525659271E-3 -0.211878966109E-2i
-0.788822476371E-4 -0.144267227513E-2i
+0.355470573161E-3 -0.168283370602E-2i
-0.588857033227E-4 -0.190616794300E-2i
-0.281714587961E-3 -0.136916906215E-2i
+0.170541062251E-3 -0.116733713769E-2i
+0.192266096461E-3 -0.153539837577E-2i
-0.222727531039E-3 -0.140279903591E-2i
-0.802892154664E-4 -0.969428472610E-3i
+0.239498669216E-3 -0.112104235914E-2i
-0.167548367990E-4 -0.132947004432E-2i
-0.208475424783E-3 -0.992631101460E-3i
+0.102359756237E-3 -0.828225178722E-3i
+0.155427080887E-3 -0.110581660825E-2i
-0.153288408523E-3 -0.105691753524E-2i
-0.798914875966E-4 -0.734997588255E-3i
+0.177658503779E-3 -0.830664208472E-3i
+0.624925033682E-5 -0.101975809883E-2i
-0.166081726273E-3 -0.786783258807E-3i
+0.632188943539E-4 -0.639221126069E-3i
+0.132937213277E-3 -0.857178100497E-3i
-0.110756601093E-3 -0.852322675420E-3i
-0.787434892503E-4 -0.596014492411E-3i
+0.138234728287E-3 -0.653607782660E-3i
+0.206237060388E-4 -0.825482891898E-3i
-0.137541766254E-3 -0.657093726294E-3i
+0.375665758055E-4 -0.519593325347E-3i
+0.117058886200E-3 -0.694639125683E-3i
-0.815357211718E-4 -0.716500940437E-3i
-0.771144310200E-4 -0.504672755091E-3i
+0.110277294039E-3 -0.534701282802E-3i
+0.302734268632E-4 -0.691559880921E-3i
-0.116402047022E-3 -0.567856598793E-3i
+0.193663939214E-4 -0.437726691504E-3i
+0.104726143367E-3 -0.579864284536E-3i
-0.599376330681E-4 -0.619256546175E-3i
-0.751062050272E-4 -0.440469812747E-3i
+0.890079021977E-4 -0.449658708141E-3i
+0.369852525648E-4 -0.593164311317E-3i
-0.996847738296E-4 -0.502593823063E-3i
+0.578767337353E-5 -0.378691422881E-3i
+0.944906266591E-4 -0.494401564890E-3i
-0.431682195476E-4 -0.545779457990E-3i
-0.727713929278E-4 -0.393143056054E-3i
+0.720164768347E-4 -0.386116101179E-3i
+0.416950925062E-4 -0.517469829966E-3i
-0.858337089948E-4 -0.452648979023E-3i
-0.467245131041E-5 -0.334510836463E-3i
+0.855866165918E-4 -0.428273114790E-3i
-0.296980746097E-4 -0.487959702989E-3i
-0.701453190274E-4 -0.356981929208E-3i
+0.579612989077E-4 -0.337111269627E-3i
+0.449434784567E-4 -0.457187111903E-3i
-0.739626823700E-4 -0.413040342661E-3i
-0.128861545823E-4 -0.300529408803E-3i
+0.775775342665E-4 -0.375612497184E-3i
-0.186218199612E-4 -0.440989071974E-3i
-0.672568313952E-4 -0.328552858914E-3i
+0.460401181565E-4 -0.298420218198E-3i
+0.470674119769E-4 -0.407871637585E-3i
-0.635350300117E-4 -0.380700071830E-3i
-0.193952756283E-4 -0.273842120441E-3i
+0.702015697900E-4 -0.332744941811E-3i
-0.937044060578E-5 -0.401840896021E-3i
-0.641324602792E-4 -0.305665209231E-3i
+0.357466832245E-4 -0.267327744549E-3i
+0.482908801583E-4 -0.366662717108E-3i
-0.542107473944E-4 -0.353637870135E-3i
-0.245555269701E-4 -0.252538260629E-3i
+0.632967358462E-4 -0.297250825832E-3i
-0.156877448666E-5 -0.368519049791E-3i
-0.607981522512E-4 -0.286854321763E-3i
+0.267477766346E-4 -0.242005532789E-3i
+0.487713867507E-4 -0.331638263471E-3i
-0.457671394442E-4 -0.330508390679E-3i
-0.286116939764E-4 -0.235306224012E-3i
+0.567613747880E-4 -0.267471087119E-3i
+0.504067518968E-5 -0.339657341812E-3i
-0.572800012197E-4 -0.271103200614E-3i
+0.188164418348E-4 -0.221174221863E-3i
+0.486255249836E-4 -0.301460885246E-3i
-0.380547492793E-4 -0.310371892586E-3i
-0.317394860211E-4 -0.221213115758E-3i
+0.505319298838E-4 -0.242229019503E-3i
+0.106410243020E-4 -0.314292276228E-3i
-0.536045219025E-4 -0.257683509500E-3i
+0.117935428030E-4 -0.203908913192E-3i
